iso3,country_name,theta_mean,observations,rank,above_cutoff
CHE,Switzerland,-0.07766952026237665,19,1,False
LTU,Lithuania,-0.033656336020551944,21,2,False
HRV,Croatia,-0.0209137786739141,16,3,False
NZL,New Zealand,-0.018386841262259177,23,4,False
MLT,Malta,-0.013626309124717477,14,5,False
DNK,Denmark,-0.010101784123711396,23,6,False
BGD,Bangladesh,-0.008217258663118811,9,7,False
SVK,Slovak Republic,-0.0080265433986772,16,8,False
NAM,Namibia,-0.00768380165505724,10,9,False
NLD,Netherlands,-0.007386958325378217,23,10,False
AUS,Australia,-0.005652011874465756,23,11,False
ROU,Romania,-0.004946764205234271,17,12,False
UGA,Uganda,-0.0020851498903518926,13,13,False
MYS,Malaysia,-0.0014272001015998318,22,14,False
TUR,Turkey,0.0053848659398040575,14,15,False
SWE,Sweden,0.006217755509768652,23,16,False
KEN,Kenya,0.006759064865407379,19,17,False
NGA,Nigeria,0.009161528225369746,17,18,False
CHL,Chile,0.010486391501704564,17,19,False
THA,Thailand,0.011367638829318459,22,20,False
FIN,Finland,0.011722682636640794,23,21,False
PHL,Philippines,0.016086490848189344,23,22,False
RUS,Russia,0.017121321838822156,21,23,False
KAZ,Kazakhstan,0.021012454516690322,5,24,False
ZAF,South Africa,0.02420083182462878,23,25,False
KOR,Korea,0.027129356982718213,23,26,False
NOR,Norway,0.027841000738301043,23,27,False
CZE,Czech Republic,0.028279423415529,23,28,False
SRB,Serbia,0.02929773653051852,6,29,False
IRL,Ireland,0.03011225860009254,23,30,False
MUS,Mauritius,0.03175562358465904,7,31,False
IDN,Indonesia,0.032198216579854146,21,32,False
SVN,Slovenia,0.03565087000782728,17,33,False
VNM,Vietnam,0.03567371576557561,17,34,False
POL,Poland,0.03855691318503666,22,35,False
CHN,China,0.04028158856059108,22,36,False
MEX,Mexico,0.04875789142525708,18,37,False
COL,Colombia,0.0544490952133874,21,38,False
DEU,Germany,0.05991244474045398,23,39,False
ISR,Israel,0.0616238815018024,22,40,False
AUT,Austria,0.06169572239870154,23,41,False
PAK,Pakistan,0.06310251386499453,15,42,False
BRA,Brazil,0.06400434602132203,17,43,False
MAR,Morocco,0.06504175581331079,12,44,False
IND,India,0.07081249490590877,24,45,False
CYP,Cyprus,0.07956646041099605,8,46,False
GBR,United Kingdom,0.08758972841572044,23,47,False
ZMB,Zambia,0.08838064293112487,12,48,False
HUN,Hungary,0.1122393875121442,21,49,True
ESP,Spain,0.11970058593336823,23,50,True
CAN,Canada,0.12548920521471835,23,51,True
BEL,Belgium,0.12552574498479885,23,52,True
FRA,France,0.1302776247570374,23,53,True
LKA,Sri Lanka,0.14420518288473583,10,54,True
PRT,Portugal,0.15297498268528303,23,55,True
EGY,Egypt,0.16375093235188867,14,56,True
ISL,Iceland,0.16452245902693907,18,57,True
ITA,Italy,0.30411671402022483,23,58,True
GRC,Greece,0.5080252047400206,23,59,True
JPN,Japan,0.8933553859322918,18,60,True
