panel,quantile,grid_value,fixed_value,marginal_effect,relief,se,ci_low,ci_high,N_model,N_countries
A,p10,.264689998626709,.34752324,-.0055354703,.0055354703,.020176604,-.034010671,.045081612,1120,60
A,p25,.378910007476807,.34752324,-.037097037,.037097037,.020348988,-.002786983,.076981053,1120,60
A,p50,.52179500579834,.34752324,-.076579385,.076579385,.021673033,.034100238,.11905853,1120,60
A,p75,.7546599960327151,.34752324,-.14092523,.14092523,.025924956,.090112321,.19173814,1120,60
A,p90,1.04376499176025,.34752324,-.22081147,.22081147,.033406839,.15533406,.28628886,1120,60
B,p10,.285418462753296,.52179503,-.077442996,.077442996,.029599739,.01942751,.13545848,1120,60
B,p25,.312294435501099,.52179503,-.077069268,.077069268,.025826549,.026449231,.1276893,1120,60
B,p50,.347523231506348,.52179503,-.076579385,.076579385,.021673033,.034100238,.11905853,1120,60
B,p75,.407138061523438,.52179503,-.075750396,.075750396,.018287703,.039906494,.11159429,1120,60
B,p90,.48458948135376,.52179503,-.07467337,.07467337,.023054929,.02948571,.11986103,1120,60
