row,baseline,continuous_z_controls,full_theta_dynamics
G_it,-0.103***,-0.082**,-0.090**
t-stat.,(-2.614),(-2.074),(-2.118)
G_it_x_theta_F_it,,-0.277***,0.033
t-stat.,,(-3.619),(0.057)
theta_F_it,,,-0.187
t-stat.,,,(-0.520)
Real GDP,8.171***,4.694***,4.523***
t-stat.,(5.412),(3.205),(2.914)
Real GDP growth,-0.326***,-0.369***,-0.391***
t-stat.,(-3.610),(-4.180),(-3.854)
CPI inflation,-0.166**,-0.166**,-0.161**
t-stat.,(-1.976),(-2.027),(-2.095)
Overall balance/GDP,-0.468***,-0.448***,-0.436***
t-stat.,(-5.849),(-5.572),(-5.160)
International reserves,0.020,-0.007,-0.005
t-stat.,(1.465),(-0.475),(-0.350)
Government effectiveness,-1.913**,-1.174,-1.111
t-stat.,(-2.020),(-1.222),(-1.134)
Regulatory quality,1.921**,0.331,-0.029
t-stat.,(2.155),(0.358),(-0.025)
Terms of trade,0.044***,0.035**,0.036**
t-stat.,(2.774),(2.355),(2.500)
Theta main effect,No,No,Yes
Debt control,No,No,No
Controls,Yes,Yes,Yes
Country FE,Yes,Yes,Yes
Year FE,Yes,Yes,Yes
p(lambda0=0),0.009,0.038,0.034
p(lambda1=0),,0.000,0.954
p(lambda2=0),,,0.603
Observations,1060,1060,1060
Countries,60,60,60
Adjusted R2,0.425,0.443,0.444
