cutoff,rss,N_grid,N_low,N_high,share_low,share_high,b_low,se_low,t_low,p_low,b_high,se_high,t_high,p_high,sign_ok
-.0157389545926486,1.9236455,1060,106,954,.1,.89999998,2.2107494,2.831774,.78069413,.43810359,-.013841243,.57399225,-.02411399,.98084307,1
-.0157086611937663,1.9236283,1060,107,953,.10094339,.89905661,2.2108738,2.8299935,.78122926,.43779126,-.01376438,.57399911,-.023979794,.98094964,1
-.0157024617803826,1.9236248,1060,108,952,.10188679,.89811319,2.210892,2.8296206,.78133863,.43772748,-.013748161,.57400084,-.023951465,.98097217,1
-.0156453254026828,1.9235919,1060,108,952,.10188679,.89811319,2.2108936,2.826237,.78227472,.43718153,-.013602363,.57401514,-.023696871,.98117435,1
-.0156327394338001,1.9235849,1060,109,951,.10283019,.89716983,2.2107208,2.8256092,.78238732,.43711591,-.013572597,.57401812,-.023644892,.98121566,1
-.0152938051376198,1.9233978,1060,111,949,.10471698,.89528304,2.2062664,2.8084018,.785595,.43524837,-.012784069,.57409704,-.022268133,.98230922,1
-.0152545332130767,1.9233756,1060,111,949,.10471698,.89528304,2.205864,2.8063827,.78601682,.43500313,-.012693752,.57410562,-.022110481,.98243445,1
-.0152542573019772,1.9233754,1060,112,948,.10566038,.89433962,2.2058601,2.8063681,.7860195,.43500158,-.01269312,.57410568,-.022109378,.98243529,1
-.015014639570523,1.9232309,1060,114,946,.10754717,.89245284,2.2080524,2.794471,.79015046,.43260434,-.012095749,.57414883,-.021067271,.98326308,1
-.0149028473931461,1.9231628,1060,114,946,.10754717,.89245284,2.2083271,2.7894988,.79165727,.43173185,-.011829983,.57417107,-.020603588,.98363137,1
-.0147516966817966,1.9230692,1060,116,944,.10943396,.89056605,2.2088695,2.7826903,.79378921,.43049923,-.011477016,.57419866,-.019987883,.98412049,1
-.0146737129527893,1.9230208,1060,116,944,.10943396,.89056605,2.2097571,2.7792165,.79510075,.42974195,-.01129037,.57422221,-.019662023,.98437935,1
-.0144550852145901,1.9228933,1060,118,942,.11132076,.88867927,2.2086036,2.7685769,.79773968,.42822066,-.010805672,.57428914,-.018815735,.98505157,1
-.0143689385035377,1.9228408,1060,118,942,.11132076,.88867927,2.2088339,2.7642212,.79908007,.4274492,-.010600085,.57431722,-.018456846,.98533666,1
-.0141862506239759,1.9227252,1060,120,940,.11320755,.88679248,2.2086434,2.7550383,.80167437,.4259584,-.01016822,.57436866,-.017703298,.98593527,1
-.0140150413749584,1.9226168,1060,120,940,.11320755,.88679248,2.2042799,2.7457342,.80280161,.42531163,-.0098123737,.5744139,-.017082408,.9864285,1
-.0138994971270114,1.9225438,1060,121,939,.11415094,.88584906,2.1972361,2.7392817,.80212122,.42570195,-.0096187126,.57443082,-.016744772,.98669672,1
-.0138131904923256,1.9224836,1060,123,937,.11603773,.88396227,2.1911314,2.7347083,.80123037,.42621329,-.0094813453,.57443452,-.016505528,.9868868,1
-.0137587295575789,1.9224449,1060,123,937,.11603773,.88396227,2.1875367,2.731859,.80075026,.42648908,-.0093927663,.57443541,-.016351301,.98700929,1
-.0136389252893377,1.9223523,1060,125,935,.11792453,.88207549,2.1829295,2.7261422,.80073947,.42649528,-.0091613177,.57443881,-.01594829,.98732948,1
-.0136220677080416,1.9223394,1060,125,935,.11792453,.88207549,2.182266,2.7253213,.80073714,.4264966,-.0091294711,.57443953,-.015892833,.98737353,1
-.0135577366271706,1.9222898,1060,127,933,.11981132,.8801887,2.1795545,2.7222564,.80064261,.42655092,-.0090105841,.57444072,-.015685838,.98753792,1
-.0134900966318577,1.9222375,1060,127,933,.11981132,.8801887,2.1759992,2.7189846,.80029845,.42674869,-.0088943802,.57443964,-.015483577,.98769861,1
-.0131748073271518,1.9219843,1060,129,931,.12169811,.87830186,2.1550815,2.7033627,.79718548,.4285399,-.0084042624,.57439935,-.014631392,.9883756,1
-.0131735983467008,1.9219834,1060,129,931,.12169811,.87830186,2.15502,2.7032974,.79718202,.42854187,-.00840226,.57439929,-.014627908,.98837841,1
-.0131460699456026,1.9219611,1060,130,930,.12264151,.8773585,2.1539791,2.7018459,.797225,.4285171,-.0083506117,.57439864,-.014538007,.98844981,1
-.0129648415967673,1.9218132,1060,131,929,.1235849,.87641507,2.1473484,2.6922495,.79760385,.42829892,-.0080149714,.57439053,-.013953871,.98891383,1
-.0128593076138919,1.9217156,1060,133,927,.1254717,.87452829,2.1458981,2.6867924,.798684,.42767707,-.0077861752,.57438064,-.013555776,.9892301,1
-.0128500704387952,1.9217073,1060,134,926,.12641509,.87358493,2.1457205,2.6863232,.79875731,.42763489,-.0077664955,.57437968,-.013521535,.98925734,1
