cutoff,rss,N_grid,N_low,N_high,share_low,share_high,b_low,se_low,t_low,p_low,b_high,se_high,t_high,p_high,sign_ok
-.0163555657430943,4.1678333,1000,100,900,.1,.89999998,1.1453478,5.6724567,.20191389,.8400293,-.52227676,.9480747,-.55088145,.58185059,1
-.0161163514238538,4.1672478,1000,101,899,.101,.89899999,1.2020801,5.6390233,.21317171,.83124095,-.52131003,.94832641,-.54971582,.58264965,1
-.0158760337096079,4.1666746,1000,101,899,.101,.89899999,1.2534434,5.6039023,.22367331,.82306188,-.5203774,.94858718,-.54858154,.58342767,1
-.0157389545926486,4.1663489,1000,103,897,.103,.89700001,1.2827229,5.5831928,.22974722,.81834,-.51983821,.94873768,-.54792619,.58387738,1
-.0157086611937663,4.166275,1000,104,896,.104,.89600003,1.2893213,5.5785904,.23111954,.81727403,-.51971436,.94877088,-.54777646,.58398014,1
-.0157024617803826,4.1662593,1000,105,895,.105,.89499998,1.29071,5.5776405,.23140788,.81705016,-.51968765,.94877785,-.54774427,.58400226,1
-.0156453254026828,4.1661139,1000,105,895,.105,.89499998,1.3030484,5.5690074,.23398216,.81505162,-.51945359,.94884008,-.54746169,.58419627,1
-.0156327394338001,4.1660814,1000,106,894,.106,.89399999,1.3059353,5.5672054,.23457645,.81459045,-.51940143,.94885349,-.54739898,.5842393,1
-.0152938051376198,4.165062,1000,108,892,.108,.89200002,1.3780715,5.5199971,.24965078,.80291396,-.51802975,.94920468,-.54575133,.58537108,1
-.0152545332130767,4.1649308,1000,108,892,.108,.89200002,1.3888164,5.5144567,.25185007,.80121398,-.51784962,.94924605,-.54553783,.58551782,1
-.015014639570523,4.164135,1000,110,890,.11,.88999999,1.4524423,5.4797788,.26505491,.79102737,-.51675653,.94950247,-.54423928,.58641058,1
-.0149028473931461,4.163744,1000,110,890,.11,.88999999,1.4752601,5.4642706,.26998299,.78723472,-.51632512,.94961983,-.54371768,.58676934,1
-.0147516966817966,4.1632199,1000,112,888,.112,.88800001,1.5052992,5.4427843,.27656785,.78217494,-.5157631,.9497785,-.54303521,.58723903,1
-.0146737129527893,4.1629539,1000,112,888,.112,.88800001,1.5237156,5.4312997,.28054345,.77912456,-.51545924,.94986671,-.54266483,.5874939,1
-.0144550852145901,4.1622486,1000,114,886,.114,.88599998,1.5653567,5.3982606,.28997427,.7719022,-.5146988,.95011544,-.54172236,.58814281,1
-.0143689385035377,4.1619639,1000,114,886,.114,.88599998,1.5831151,5.3848009,.29399696,.7688275,-.51436841,.95021731,-.54131663,.5884223,1
-.0141862506239759,4.1613665,1000,116,884,.116,.884,1.6202986,5.3558803,.30252704,.76231968,-.51366037,.95043236,-.54044914,.58902001,1
-.0140150413749584,4.1607924,1000,116,884,.116,.884,1.646822,5.3286276,.30905181,.75735307,-.51308209,.95063329,-.53972656,.58951807,1
-.0138994971270114,4.1603918,1000,117,883,.117,.88300002,1.6571205,5.3103037,.31205758,.75506848,-.51277363,.95076555,-.53932714,.5897935,1
-.0137587295575789,4.1598787,1000,118,882,.118,.88200003,1.6676927,5.2881494,.31536415,.75255775,-.51240832,.95092249,-.53885388,.5901199,1
-.0136389252893377,4.1594219,1000,120,880,.12,.88,1.6829765,5.268858,.31941959,.74948192,-.51202995,.95105875,-.53837889,.5904476,1
-.0136220677080416,4.1593571,1000,120,880,.12,.88,1.6850574,5.2661357,.31997985,.74905729,-.51197875,.951078,-.53831416,.59049225,1
-.0135577366271706,4.1591148,1000,122,878,.122,.87800002,1.6948049,5.2558966,.32245782,.74718022,-.51176691,.95115095,-.53805017,.5906744,1
-.0134900966318577,4.1588569,1000,122,878,.122,.87800002,1.7030925,5.2452068,.32469502,.7454868,-.51156378,.95122778,-.53779316,.59085178,1
-.0131748073271518,4.157589,1000,124,876,.124,.87599999,1.7314379,5.1954455,.33326072,.73901451,-.51069295,.95155883,-.53669089,.59161276,1
-.0131735983467008,4.1575847,1000,124,876,.124,.87599999,1.7315791,5.1952453,.33330074,.73898429,-.51068938,.95156014,-.53668636,.59161586,1
-.0131460699456026,4.157475,1000,125,875,.125,.875,1.7355148,5.1907153,.33434984,.73819286,-.51059681,.95159072,-.53657186,.59169495,1
-.0129648415967673,4.1567755,1000,126,874,.126,.87400001,1.7556292,5.1605282,.3402034,.73378211,-.51005656,.95178497,-.53589475,.59216267,1
-.0128593076138919,4.1563478,1000,128,872,.12800001,.87199998,1.7695795,5.1425714,.34410402,.73084784,-.5097037,.95189989,-.53545934,.59246349,1
-.0128500704387952,4.1563115,1000,129,871,.12899999,.87099999,1.7705441,5.1409883,.34439763,.73062712,-.50967509,.95190996,-.53542364,.59248817,1
-.0127790771303505,4.1560354,1000,130,870,.13,.87,1.7781971,5.1286426,.34671885,.72888297,-.50944889,.95198917,-.53514147,.5926832,1
-.012546947599188,4.1551452,1000,131,869,.131,.86900002,1.8040005,5.0878882,.35456762,.72299594,-.50870192,.9522379,-.53421724,.59332216,1
-.0125382863767339,4.1551118,1000,131,869,.131,.86900002,1.8050458,5.0863476,.35488057,.72276157,-.50867152,.95224762,-.53417987,.59334797,1
-.0123176241325897,4.154274,1000,133,867,.133,.86699998,1.8304242,5.0464664,.36271405,.71690297,-.50790876,.95249271,-.53324163,.59399694,1
-.0123021892555204,4.1542158,1000,133,867,.133,.86699998,1.8321729,5.0436254,.36326507,.71649152,-.50785446,.95251,-.53317493,.59404308,1
-.0122775532694416,4.1541224,1000,135,865,.13500001,.86500001,1.8349177,5.0390925,.36413652,.71584094,-.50776738,.9525373,-.53306818,.59411693,1
-.0122484905888289,4.1540141,1000,135,865,.13500001,.86500001,1.8381282,5.033731,.36516219,.71507549,-.5076589,.95256966,-.53293622,.5942083,1
-.012155675339528,4.1536264,1000,137,863,.13699999,.86299998,1.849054,5.0168071,.36857188,.71253288,-.50730336,.95267123,-.53250617,.59450591,1
-.0120140181669582,4.1530108,1000,138,862,.138,.86199999,1.8685961,4.9907689,.37441045,.70818651,-.50672883,.95282549,-.53181708,.59498292,1
-.0120139304524728,4.1530108,1000,139,861,.139,.861,1.868608,4.9907527,.37441406,.70818383,-.50672847,.95282561,-.5318166,.59498322,1
-.0119618940226464,4.1527934,1000,139,861,.139,.861,1.8748702,4.9814186,.37637275,.7067278,-.50653088,.95288485,-.53157616,.59514976,1
-.0119296206984981,4.1526613,1000,141,859,.141,.85900003,1.8781143,4.9757156,.37745613,.70592296,-.50642079,.95292008,-.53144097,.59524333,1
-.0118361749781346,4.1522698,1000,142,858,.142,.85799998,1.8897523,4.9592233,.38105813,.70324934,-.50606245,.95302361,-.53100729,.59554374,1
-.0117050500487276,4.1517329,1000,143,857,.14300001,.85699999,1.9041708,4.9359102,.38577902,.69975078,-.50557613,.95317096,-.530415,.59595406,1
-.01169962195148,4.1517105,1000,143,857,.14300001,.85699999,1.9047827,4.9349394,.38597894,.69960278,-.50555658,.95317698,-.53039104,.59597063,1
-.0114405957643858,4.1506138,1000,145,855,.145,.85500002,1.9191965,4.8881412,.39262298,.69469023,-.50483143,.95348185,-.52946097,.59661531,1
-.0113920372904955,4.1504025,1000,145,855,.145,.85500002,1.9236304,4.8792906,.39424387,.69349366,-.50466859,.9535408,-.52925748,.59675634,1
-.0113822281731367,4.1503601,1000,147,853,.147,.85299999,1.9244815,4.8774939,.39456359,.69325775,-.504637,.95355266,-.52921778,.59678388,1
-.0113701018891449,4.1503086,1000,148,852,.148,.852,1.925585,4.8752708,.39496985,.692958,-.50459778,.95356721,-.52916855,.59681803,1
-.0113149793965205,4.1500692,1000,149,851,.149,.85100001,1.9316938,4.8652935,.39703542,.69143474,-.50440651,.95363295,-.5289315,.59698236,1
-.0112590158720499,4.1498432,1000,149,851,.149,.85100001,1.9343176,4.8551159,.39840811,.69042313,-.5042519,.95370084,-.5287317,.59712094,1
-.0112423686449766,4.1497769,1000,151,849,.15099999,.84899998,1.9348559,4.8520269,.39877269,.69015455,-.50420815,.95372182,-.52867424,.59716076,1
-.011223367902847,4.1496987,1000,152,848,.152,.84799999,1.9357649,4.8485084,.39924958,.6898033,-.50415635,.95374542,-.52860683,.59720755,1
-.011211650646193,4.1496482,1000,152,848,.152,.84799999,1.9365119,4.8463402,.39958233,.68955827,-.50412077,.95375997,-.52856147,.59723902,1
-.011138359439367,4.1493464,1000,153,847,.153,.847,1.9415882,4.8326683,.4017632,.68795294,-.50390029,.95385295,-.52827883,.59743506,1
-.0111372510208755,4.1493416,1000,155,845,.155,.84500003,1.9416558,4.8324599,.40179446,.68792993,-.50389689,.95385438,-.52827448,.5974381,1
-.0108448538914137,4.1481047,1000,155,845,.155,.84500003,1.9603252,4.7768607,.41037941,.68162459,-.50299871,.95421594,-.52713299,.59823012,1
-.010832098880303,4.1480508,1000,157,843,.15700001,.84299999,1.9610242,4.774406,.4107368,.68136257,-.50296032,.95423174,-.52708405,.5982641,1
-.010781753973631,4.1478434,1000,158,842,.15800001,.84200001,1.9630749,4.7647071,.41200325,.68043441,-.50281549,.95429444,-.52689761,.5983935,1
-.0107722580027068,4.1478043,1000,158,842,.15800001,.84200001,1.9634061,4.7628813,.41223073,.68026775,-.50278944,.95430654,-.52686363,.5984171,1
-.0105990820488195,4.1470914,1000,159,841,.15899999,.84100002,1.9683503,4.7301884,.41612515,.67741686,-.502334,.95452034,-.52626854,.59883028,1
-.0105665283206169,4.1469564,1000,160,840,.16,.83999997,1.9684172,4.7239809,.41668609,.6770066,-.50225931,.95456004,-.52616841,.59889984,1
-.0104981746315181,4.1466689,1000,161,839,.161,.83899999,1.9697018,4.7110791,.41809991,.67597306,-.50209212,.95464176,-.52594823,.59905279,1
