cutoff,rss,N_grid,N_low,N_high,share_low,share_high,b_low,se_low,t_low,p_low,b_high,se_high,t_high,p_high,sign_ok
-.0157389545926486,1.927223,1060,106,954,.1,.89999998,1.2473229,.9288317,1.3428944,.1844497,-.28126091,.086921357,-3.2358093,.0019905102,1
-.0157086611937663,1.9272065,1060,107,953,.10094339,.89905661,1.2505876,.92877072,1.3464977,.18329231,-.28124946,.086911805,-3.2360327,.0019891893,1
-.0157024617803826,1.9272031,1060,108,952,.10188679,.89811319,1.2512484,.9287535,1.3472341,.1830564,-.28124711,.08690986,-3.2360783,.0019889204,1
-.0156453254026828,1.9271713,1060,108,952,.10188679,.89811319,1.2574941,.92865682,1.3540999,.18086848,-.28122509,.086891472,-3.2365096,.0019863741,1
-.0156327394338001,1.9271646,1060,109,951,.10283019,.89716983,1.2587997,.92866409,1.3554952,.18042625,-.2812205,.086887516,-3.2366042,.0019858168,1
-.0152938051376198,1.9269822,1060,111,949,.10471698,.89528304,1.2929336,.92841327,1.3926271,.16895872,-.28109562,.086781152,-3.2391324,.0019709587,1
-.0152545332130767,1.9269606,1060,111,949,.10471698,.89528304,1.2967956,.92834371,1.3968916,.16767843,-.28108189,.086768657,-3.2394404,.0019691547,1
-.0152542573019772,1.9269605,1060,112,948,.10566038,.89433962,1.2968222,.928343,1.3969214,.16766953,-.2810818,.086768568,-3.2394426,.0019691421,1
-.015014639570523,1.9268219,1060,114,946,.10754717,.89245284,1.3209536,.92771298,1.4238818,.15974808,-.28098497,.086691603,-3.2412016,.0019588745,1
-.0149028473931461,1.9267561,1060,114,946,.10754717,.89245284,1.3319931,.9273687,1.4363145,.15619433,-.28093961,.08665558,-3.2420256,.0019540826,1
-.0147516966817966,1.9266658,1060,116,944,.10943396,.89056605,1.3467072,.92685199,1.4529905,.15152459,-.28088069,.086606562,-3.2431803,.0019473868,1
-.0146737129527893,1.9266192,1060,116,944,.10943396,.89056605,1.3540635,.92651093,1.4614652,.14919363,-.28085095,.086581573,-3.243773,.0019439578,1
-.0144550852145901,1.9264958,1060,118,942,.11132076,.88867927,1.3725429,.92505318,1.4837447,.14319949,-.2807689,.086516313,-3.2452712,.0019353153,1
-.0143689385035377,1.9264455,1060,118,942,.11132076,.88867927,1.3798523,.92437953,1.4927335,.14083543,-.28073686,.086490192,-3.2458811,.0019318075,1
-.0141862506239759,1.9263343,1060,120,940,.11320755,.88679248,1.395723,.92289913,1.5123245,.13578968,-.28066862,.086433344,-3.247226,.0019240929,1
-.0140150413749584,1.9262279,1060,120,940,.11320755,.88679248,1.4102705,.92131019,1.5307226,.13118251,-.28060466,.086380273,-3.2484808,.0019169209,1
-.0138994971270114,1.9261543,1060,121,939,.11415094,.88584906,1.4200798,.92012632,1.5433531,.12809224,-.28056148,.086344093,-3.2493417,.0019120163,1
-.0138131904923256,1.9260931,1060,123,937,.11603773,.88396227,1.4282528,.919119,1.5539368,.12554769,-.28052664,.086315028,-3.2500327,.001908088,1
-.0137587295575789,1.9260539,1060,123,937,.11603773,.88396227,1.4334346,.9184972,1.5606304,.12395938,-.2805028,.086296819,-3.2504418,.0019057645,1
-.0136389252893377,1.9259617,1060,125,935,.11792453,.88207549,1.4455651,.9172985,1.5758939,.12039765,-.28044978,.086254515,-3.2514212,.0019002148,1
-.0136220677080416,1.9259487,1060,125,935,.11792453,.88207549,1.4472631,.9171586,1.5779856,.11991601,-.28044221,.086248592,-3.2515569,.0018994475,1
-.0135577366271706,1.9258991,1060,127,933,.11981132,.8801887,1.4536984,.91659671,1.5859739,.11809087,-.28041363,.086226046,-3.2520757,.0018965153,1
-.0134900966318577,1.9258467,1060,127,933,.11981132,.8801887,1.4604111,.91597271,1.5943826,.11619385,-.28038332,.086202368,-3.2526174,.0018934588,1
