cutoff,rss,N_grid,N_low,N_high,share_low,share_high,b_low,se_low,t_low,p_low,b_high,se_high,t_high,p_high,sign_ok
-.0163555657430943,6.0862412,940,94,846,.1,.89999998,5.1572733,2.0780482,2.4817872,.013264757,-.97840315,.17897487,-5.4667068,6.0282552e-08,1
-.0161163514238538,6.0844188,940,95,845,.10106383,.89893615,5.2594533,2.069653,2.5412247,.011223164,-.97811544,.17889483,-5.4675446,6.0008126e-08,1
-.0158760337096079,6.082613,940,95,845,.10106383,.89893615,5.3547668,2.0611629,2.597935,.0095409267,-.97783858,.17881788,-5.468349,5.9745616e-08,1
-.0157389545926486,6.0815992,940,97,843,.10319149,.89680851,5.4058824,2.0564127,2.6287925,.0087235561,-.97769904,.17877452,-5.4688945,5.9568244e-08,1
-.0157086611937663,6.0813665,940,98,842,.10425532,.89574468,5.4175143,2.055372,2.635783,.008547334,-.97766906,.17876466,-5.4690289,5.9524648e-08,1
-.0157024617803826,6.0813184,940,99,841,.10531915,.89468086,5.4199214,2.0551558,2.6372313,.0085112266,-.9776628,.17876261,-5.4690566,5.9515717e-08,1
-.0156453254026828,6.080873,940,99,841,.10531915,.89468086,5.4420385,2.0532594,2.650439,.0081881844,-.97760558,.17874362,-5.4693174,5.9431120e-08,1
-.0156327394338001,6.0807714,940,100,840,.10638298,.89361703,5.4471555,2.0528913,2.6534066,.0081171338,-.97759312,.17873925,-5.4693818,5.9410379e-08,1
-.0152938051376198,6.0777712,940,102,838,.10851064,.89148939,5.5945945,2.0423417,2.7393038,.0062858788,-.97722316,.17861578,-5.4710908,5.8859587e-08,1
-.0152545332130767,6.0774059,940,102,838,.10851064,.89148939,5.6118646,2.04105,2.7494988,.0060953293,-.97718269,.17860085,-5.4713216,5.8785488e-08,1
-.015014639570523,6.0751987,940,104,836,.1106383,.88936168,5.712533,2.0330303,2.8098614,.0050701103,-.97693616,.17851289,-5.4726367,5.8365547e-08,1
-.0149028473931461,6.0741673,940,104,836,.1106383,.88936168,5.7578502,2.0294218,2.8371878,.0046595596,-.97682178,.17847279,-5.4732256,5.8178493e-08,1
-.0147516966817966,6.0727735,940,106,834,.11276596,.88723403,5.8171139,2.0244482,2.8734319,.0041615637,-.97668111,.17841852,-5.4741015,5.7901229e-08,1
