cutoff,rss,N_grid,N_low,N_high,share_low,share_high,b_low,se_low,t_low,p_low,b_high,se_high,t_high,p_high,sign_ok
-.0157389545926486,2.2165828,1060,106,954,.1,.89999998,.14064284,.19900566,.70672786,.47990432,-.33877784,.070960045,-4.7742052,2.0802740e-06,1
-.0157086611937663,2.2165875,1060,107,953,.10094339,.89905661,.14101654,.1989824,.7086885,.47868702,-.33876619,.07095959,-4.7740717,2.0816212e-06,1
-.0157024617803826,2.2165885,1060,108,952,.10188679,.89811319,.14109266,.19897774,.70908767,.47843939,-.33876383,.070959508,-4.774044,2.0819025e-06,1
-.0156453254026828,2.2165983,1060,108,952,.10188679,.89811319,.1418602,.1989328,.71310616,.47595054,-.33874035,.070958741,-4.7737646,2.0847294e-06,1
-.0156327394338001,2.2166004,1060,109,951,.10283019,.89716983,.14202398,.19892381,.71396172,.47542158,-.33873528,.070958547,-4.7737064,2.0853195e-06,1
-.0152938051376198,2.2166555,1060,111,949,.10471698,.89528304,.14634378,.19869387,.73652887,.46158588,-.33860156,.070954069,-4.7721233,2.1014032e-06,1
-.0152545332130767,2.2166619,1060,111,949,.10471698,.89528304,.14686,.19866678,.73922777,.45994642,-.33858553,.070953473,-4.7719374,2.1033015e-06,1
-.0152542573019772,2.2166619,1060,112,948,.10566038,.89433962,.14686365,.1986666,.73924685,.45993486,-.33858541,.070953466,-4.7719359,2.1033150e-06,1
-.015014639570523,2.2167022,1060,114,946,.10754717,.89245284,.1501286,.19850273,.75630498,.44964889,-.33848494,.070950463,-4.7707219,2.1157400e-06,1
-.0149028473931461,2.2167211,1060,114,946,.10754717,.89245284,.15167385,.19842781,.76437795,.44482681,-.33843726,.070948996,-4.7701488,2.1216333e-06,1
-.0147516966817966,2.2167473,1060,116,944,.10943396,.89056605,.15384567,.19832489,.77572542,.43809906,-.33837014,.070946686,-4.7693577,2.1297881e-06,1
-.0146737129527893,2.2167604,1060,116,944,.10943396,.89056605,.15495522,.19827254,.78152645,.43468246,-.33833566,.070945434,-4.7689562,2.1339406e-06,1
-.0144550852145901,2.2167957,1060,118,942,.11132076,.88867927,.15779544,.19813779,.7963925,.42599759,-.33824658,.070942409,-4.7679038,2.1448593e-06,1
-.0143689385035377,2.2168093,1060,118,942,.11132076,.88867927,.15890144,.19808511,.80218768,.4226397,-.33821177,.070941217,-4.7674932,2.1491319e-06,1
-.0141862506239759,2.2168384,1060,120,940,.11320755,.88679248,.16125885,.19797865,.8145265,.4155421,-.33813736,.070938677,-4.7666154,2.1583007e-06,1
-.0140150413749584,2.2168655,1060,120,940,.11320755,.88679248,.16348173,.1978804,.82616425,.40891284,-.33806705,.07093621,-4.7657895,2.1669580e-06,1
-.0138994971270114,2.2168841,1060,121,939,.11415094,.88584906,.16499959,.19781475,.83411169,.40442216,-.33801895,.070934512,-4.7652259,2.1728856e-06,1
-.0138131904923256,2.2168987,1060,123,937,.11603773,.88396227,.16625625,.1977599,.84069753,.40072331,-.33797956,.070933104,-4.7647648,2.1777464e-06,1
-.0137587295575789,2.2169077,1060,123,937,.11603773,.88396227,.1670178,.19772635,.84469163,.39849001,-.33795568,.070932381,-4.7644763,2.1807900e-06,1
-.0136389252893377,2.2169282,1060,125,935,.11792453,.88207549,.16880956,.19765086,.8540796,.39327046,-.33789966,.070930421,-4.7638187,2.1877540e-06,1
-.0136220677080416,2.2169311,1060,125,935,.11792453,.88207549,.16904987,.19764048,.85534036,.39257267,-.33789209,.070930161,-4.7637291,2.1887004e-06,1
-.0135577366271706,2.2169416,1060,127,933,.11981132,.8801887,.16994038,.19760151,.86001557,.38999167,-.33786389,.070929177,-4.7633977,2.1922174e-06,1
-.0134900966318577,2.2169526,1060,127,933,.11981132,.8801887,.17087628,.19756082,.86493003,.38728973,-.33783427,.070928149,-4.7630491,2.1959229e-06,1
-.0131748073271518,2.2170043,1060,129,931,.12169811,.87830186,.1753635,.19737223,.88849127,.37449548,-.33769166,.070922539,-4.7614155,2.2133693e-06,1
-.0131735983467008,2.2170045,1060,129,931,.12169811,.87830186,.17538038,.19737153,.88857996,.37444779,-.33769113,.070922516,-4.7614098,2.2134348e-06,1
-.0131460699456026,2.2170091,1060,130,930,.12264151,.8773585,.17577991,.19735552,.89067644,.37332228,-.33767846,.070922039,-4.7612629,2.2150080e-06,1
