cutoff,rss,N_grid,N_low,N_high,share_low,share_high,b_low,se_low,t_low,p_low,b_high,se_high,t_high,p_high,sign_ok
-.0157389545926486,2.206146,1060,106,954,.1,.89999998,2.5226281,3.0810282,.81876177,.41312304,-.1750921,.52775782,-.33176598,.74013752,1
-.0157086611937663,2.2061586,1060,107,953,.10094339,.89905661,2.513993,3.0790033,.81649572,.41441673,-.17505558,.52777433,-.33168641,.74019754,1
-.0157024617803826,2.2061613,1060,108,952,.10188679,.89811319,2.5122283,3.0785878,.81603271,.41468138,-.17504817,.52777773,-.33167022,.74020976,1
-.0156453254026828,2.2061877,1060,108,952,.10188679,.89811319,2.49476,3.074903,.8113296,.41737503,-.17498876,.52780896,-.33153805,.74030954,1
-.0156327394338001,2.2061934,1060,109,951,.10283019,.89716983,2.4908752,3.0740931,.81027973,.41797775,-.1749765,.52781588,-.33151048,.7403304,1
-.0152938051376198,2.2063441,1060,111,949,.10471698,.89528304,2.3893456,3.0515046,.78300577,.43381447,-.17465189,.52800125,-.33077928,.74088252,1
-.0152545332130767,2.2063615,1060,111,949,.10471698,.89528304,2.3777652,3.0487959,.77990305,.4356378,-.17461443,.52802271,-.33069491,.74094623,1
-.0152542573019772,2.2063615,1060,112,948,.10566038,.89433962,2.3776841,3.0487769,.7798813,.43565062,-.17461416,.52802289,-.33069435,.74094665,1
-.015014639570523,2.206465,1060,114,946,.10754717,.89245284,2.3087201,3.0317163,.76152247,.44652978,-.17437711,.5281539,-.33016345,.74134761,1
-.0149028473931461,2.2065132,1060,114,946,.10754717,.89245284,2.2769353,3.0242083,.75290298,.45169052,-.17426577,.52821517,-.32991433,.74153578,1
-.0147516966817966,2.206579,1060,116,944,.10943396,.89056605,2.2340846,3.0138593,.74127036,.45870855,-.17411594,.52829748,-.32957932,.74178886,1
-.0146737129527893,2.2066112,1060,116,944,.10943396,.89056605,2.2131689,3.0085659,.73562253,.46213791,-.17402174,.52834135,-.32937366,.74194425,1
-.0144550852145901,2.2066979,1060,118,942,.11132076,.88867927,2.1546872,2.9932892,.71983927,.47179702,-.17378053,.52846545,-.3288399,.74234754,1
-.0143689385035377,2.2067316,1060,118,942,.11132076,.88867927,2.1319132,2.9871051,.71370542,.47558066,-.17368875,.52851474,-.32863557,.74250191,1
-.0141862506239759,2.2068024,1060,120,940,.11320755,.88679248,2.084075,2.9739792,.70076984,.48361436,-.17349887,.52861935,-.32821134,.74282253,1
-.0140150413749584,2.2068696,1060,120,940,.11320755,.88679248,2.0385263,2.961148,.68842435,.49134988,-.17333935,.52872097,-.32784656,.74309826,1
-.0138994971270114,2.2069173,1060,121,939,.11415094,.88584906,2.0064411,2.9524677,.67958111,.49693155,-.17324989,.52879119,-.32763383,.74325907,1
-.0138131904923256,2.2069566,1060,123,937,.11603773,.88396227,1.9806428,2.9460893,.67229563,.50155532,-.17320354,.52884334,-.3275139,.74334973,1
-.0137587295575789,2.2069809,1060,123,937,.11603773,.88396227,1.9644418,2.9420078,.66772151,.50446987,-.1731769,.52887642,-.32744303,.74340332,1
-.0136389252893377,2.2070336,1060,125,935,.11792453,.88207549,1.9299984,2.9328454,.65806347,.51065314,-.17310384,.52894872,-.32726014,.7435416,1
-.0136220677080416,2.2070405,1060,125,935,.11792453,.88207549,1.9254934,2.9316137,.65680325,.51146287,-.17309061,.5289588,-.32722887,.74356526,1
-.0135577366271706,2.2070632,1060,127,933,.11981132,.8801887,1.910733,2.9269068,.65281647,.51402897,-.17301287,.52899772,-.3270579,.74369454,1
-.0134900966318577,2.2070866,1060,127,933,.11981132,.8801887,1.8954464,2.9220109,.64867878,.51669925,-.17293197,.52903885,-.32687953,.74382937,1
-.0131748073271518,2.2071991,1060,129,931,.12169811,.87830186,1.822253,2.8989275,.62859559,.52976155,-.17259333,.52923185,-.32612044,.74440342,1
-.0131735983467008,2.2071996,1060,129,931,.12169811,.87830186,1.8219844,2.8988371,.62852252,.52980936,-.17259198,.52923262,-.32611746,.74440569,1
-.0131460699456026,2.2072091,1060,130,930,.12264151,.8773585,1.8159463,2.8967745,.62688565,.5308814,-.17255996,.52924955,-.3260465,.74445939,1
-.0129648415967673,2.2072701,1060,131,929,.1235849,.87641507,1.7769356,2.882901,.61637068,.53779423,-.17234333,.52936053,-.32556888,.74482065,1
-.0128593076138919,2.2073069,1060,133,927,.1254717,.87452829,1.7541215,2.8747075,.61019135,.54187769,-.17221755,.52942502,-.32529166,.74503034,1
