cutoff,rss,N_grid,N_low,N_high,share_low,share_high,b_low,se_low,t_low,p_low,b_high,se_high,t_high,p_high,sign_ok
-.0157389545926486,1.8946792,1060,106,954,.1,.89999998,4.1328092,3.0868886,1.3388268,.1809427,-.092102326,.56332272,-.16349834,.87016034,1
-.0157086611937663,1.8946745,1060,107,953,.10094339,.89905661,4.1308107,3.0862546,1.3384542,.18106399,-.091999665,.56334132,-.16331069,.87030804,1
-.0157024617803826,1.8946737,1060,108,952,.10188679,.89811319,4.1303821,3.0861204,1.3383737,.18109024,-.091978259,.56334531,-.16327155,.87033886,1
-.0156453254026828,1.8946652,1060,108,952,.10188679,.89811319,4.1263595,3.084883,1.3376064,.18134025,-.091781333,.56338191,-.1629114,.87062234,1
-.0156327394338001,1.8946638,1060,109,951,.10283019,.89716983,4.1252613,3.084662,1.3373463,.18142506,-.091740996,.56338972,-.16283754,.87068051,1
-.0152938051376198,1.8946276,1060,111,949,.10471698,.89528304,4.0950785,3.0776854,1.3305708,.18364491,-.090674974,.56360292,-.16088448,.87221807,1
-.0152545332130767,1.8946232,1060,111,949,.10471698,.89528304,4.0915279,3.0767474,1.3298224,.18389136,-.090553403,.56362724,-.16066186,.87239337,1
-.0152542573019772,1.8946232,1060,112,948,.10566038,.89433962,4.0914998,3.076741,1.3298162,.18389338,-.090552568,.56362742,-.16066033,.87239462,1
-.015014639570523,1.8945975,1060,114,946,.10754717,.89245284,4.0690694,3.0706711,1.3251401,.18543868,-.089798167,.56377423,-.15928037,.87348133,1
-.0149028473931461,1.8945858,1060,114,946,.10754717,.89245284,4.0583863,3.0677404,1.3229235,.18617453,-.089444995,.56384134,-.15863504,.87398964,1
-.0147516966817966,1.8945696,1060,116,944,.10943396,.89056605,4.0438638,3.0634637,1.32003,.18713836,-.088973545,.56393051,-.15777396,.87466794,1
-.0146737129527893,1.8945602,1060,116,944,.10943396,.89056605,4.0371318,3.0611815,1.3188149,.18754423,-.088718757,.5639773,-.1573091,.87503421,1
-.0144550852145901,1.8945427,1060,118,942,.11132076,.88867927,4.0137429,3.0541041,1.3142129,.18908717,-.088055968,.56410986,-.15609719,.87598908,1
-.0143689385035377,1.8945349,1060,118,942,.11132076,.88867927,4.0046921,3.0510285,1.3125712,.18963991,-.087785497,.56416488,-.15560257,.87637889,1
-.0141862506239759,1.8945181,1060,120,940,.11320755,.88679248,3.9845858,3.0442791,1.3088766,.19088806,-.087214507,.5642817,-.15455846,.8772018,1
-.0140150413749584,1.8945071,1060,120,940,.11320755,.88679248,3.9622695,3.0370612,1.3046392,.19232708,-.086715803,.56439245,-.1536445,.87792218,1
-.0138994971270114,1.8945048,1060,121,939,.11415094,.88584906,3.9432721,3.0320437,1.3005327,.19372925,-.086414456,.56446654,-.15309049,.87835896,1
-.0138131904923256,1.8945026,1060,123,937,.11603773,.88396227,3.9281883,3.0282805,1.297168,.19488375,-.086188674,.56452143,-.15267564,.87868601,1
-.0137587295575789,1.8945016,1060,123,937,.11603773,.88396227,3.9184957,3.0258121,1.2950227,.19562243,-.086046264,.56455666,-.15241386,.87889242,1
-.0136389252893377,1.8944921,1060,125,935,.11792453,.88207549,3.900562,3.0202472,1.2914711,.19684993,-.085694678,.56463438,-.1517702,.87939996,1
-.0136220677080416,1.8944908,1060,125,935,.11792453,.88207549,3.8980525,3.0194726,1.2909713,.19702312,-.085645653,.56464523,-.15168047,.87947071,1
-.0135577366271706,1.8944855,1060,127,933,.11981132,.8801887,3.8886571,3.0166965,1.2890449,.19769172,-.085457869,.564686,-.15133698,.87974155,1
-.0134900966318577,1.8944801,1060,127,933,.11981132,.8801887,3.8787045,3.0137341,1.2870095,.19839992,-.085264727,.56472939,-.15098333,.88002044,1
-.0131748073271518,1.8944569,1060,129,931,.12169811,.87830186,3.8285925,2.9993727,1.2764645,.2020988,-.084408842,.56493217,-.14941412,.88125813,1
-.0131735983467008,1.8944567,1060,129,931,.12169811,.87830186,3.8284192,2.9993119,1.2764324,.20211011,-.084405519,.56493294,-.14940803,.8812629,1
-.0131460699456026,1.8944535,1060,130,930,.12264151,.8773585,3.8248172,2.9979358,1.275817,.20232755,-.084323332,.56495136,-.14925767,.88138151,1
-.0129648415967673,1.8944348,1060,131,929,.1235849,.87641507,3.7997823,2.9886456,1.2714062,.20389087,-.083797902,.56506979,-.14829655,.88213974,1
-.0128593076138919,1.8944156,1060,133,927,.1254717,.87452829,3.7877769,2.9829566,1.2698063,.20446008,-.083448112,.56513989,-.14765921,.88264263,1
-.0128500704387952,1.8944142,1060,134,926,.12641509,.87358493,3.7866292,2.9824512,1.2696366,.20452049,-.083418474,.56514615,-.14760514,.88268524,1
-.0127790771303505,1.8944026,1060,135,925,.1273585,.8726415,3.7780232,2.9783931,1.268477,.20493388,-.083190665,.56519461,-.14718942,.88301331,1
-.012546947599188,1.8943616,1060,136,924,.12830189,.87169814,3.75386,2.9645402,1.2662537,.20572816,-.082434051,.56535125,-.14581034,.88410157,1
-.0125382863767339,1.8943596,1060,136,924,.12830189,.87169814,3.7532005,2.9640076,1.2662587,.20572636,-.082402311,.56535727,-.14575264,.88414711,1
-.0123176241325897,1.8943084,1060,138,922,.13018867,.8698113,3.7352538,2.9500058,1.2661852,.20575266,-.081615753,.56550765,-.14432299,.8852756,1
-.0123021892555204,1.8943049,1060,138,922,.13018867,.8698113,3.7339571,2.9489849,1.2661839,.20575315,-.081561595,.56551826,-.14422451,.88535333,1
-.0122775532694416,1.8942993,1060,140,920,.13207547,.86792451,3.7318709,2.9473453,1.2661805,.20575435,-.081475474,.56553531,-.14406788,.88547695,1
-.0122484905888289,1.8942926,1060,140,920,.13207547,.86792451,3.7293868,2.9454057,1.2661707,.20575783,-.081373714,.56555569,-.14388275,.8856231,1
-.012155675339528,1.8942637,1060,142,918,.13396226,.86603773,3.7218289,2.9393148,1.2662232,.20573905,-.081013374,.56562012,-.14322931,.88613904,1
-.0120140181669582,1.8942178,1060,143,917,.13490567,.86509436,3.710494,2.9298449,1.2664473,.20565891,-.080459669,.56571728,-.14222594,.88693124,1
-.0120139304524728,1.8942178,1060,144,916,.13584906,.86415094,3.7104871,2.9298389,1.2664474,.20565887,-.080459327,.56571734,-.14222531,.88693178,1
-.0119618940226464,1.8941995,1060,144,916,.13584906,.86415094,3.7070699,2.9264863,1.2667307,.20555757,-.080249511,.56575447,-.14184512,.88723195,1
-.0119296206984981,1.8941897,1060,146,914,.13773584,.86226416,3.7042642,2.9244235,1.2666647,.20558113,-.08012902,.56577688,-.14162654,.88740462,1
-.0118361749781346,1.8941573,1060,147,913,.13867925,.86132073,3.6976671,2.9185104,1.2669706,.20547178,-.079752482,.56584322,-.1409445,.88794321,1
-.0117050500487276,1.8941115,1060,148,912,.13962264,.86037737,3.6882572,2.9100428,1.2674237,.2053099,-.079226255,.56593758,-.13999116,.88869619,1
-.01169962195148,1.8941096,1060,148,912,.13962264,.86037737,3.6878674,2.9096866,1.267445,.20530231,-.079204708,.56594139,-.13995214,.88872707,1
-.0114955148580331,1.8940461,1060,150,910,.14150943,.85849059,3.6657133,2.8962178,1.2656897,.20592998,-.078473069,.56608415,-.13862438,.88977593,1
-.0114405957643858,1.8940283,1060,151,909,.14245284,.85754716,3.660145,2.8926547,1.2653239,.20606099,-.078279257,.56612229,-.1382727,.89005375,1
-.0113920372904955,1.8940111,1060,151,909,.14245284,.85754716,3.6557825,2.8895283,1.2651831,.20611142,-.078098677,.56615663,-.13794535,.89031243,1
-.0113822281731367,1.894008,1060,153,907,.14433962,.85566038,3.6548276,2.8888888,1.2651327,.20612952,-.078063801,.56616348,-.13788208,.89036238,1
-.0113701018891449,1.894004,1060,154,906,.14528301,.85471696,3.6535969,2.8881004,1.2650518,.20615846,-.07802096,.56617194,-.13780437,.89042383,1
-.0113149793965205,1.8939848,1060,155,905,.14622642,.85377359,3.6484601,2.8845868,1.2648121,.20624438,-.077818677,.56620991,-.13743787,.89071339,1
-.0112590158720499,1.8939687,1060,155,905,.14622642,.85377359,3.6418121,2.8809443,1.2641035,.20649843,-.077631801,.56624854,-.13709846,.89098161,1
-.0112423686449766,1.8939654,1060,157,903,.14811321,.85188681,3.6392233,2.8798385,1.2636901,.20664679,-.077584498,.56626081,-.13701196,.89104992,1
-.011223367902847,1.8939613,1060,158,902,.1490566,.85094339,3.6363328,2.8785808,1.2632381,.20680907,-.077529728,.56627446,-.13691193,.89112902,1
-.011211650646193,1.8939587,1060,158,902,.1490566,.85094339,3.6345992,2.8778045,1.2629764,.20690306,-.077494323,.56628305,-.13684733,.89118004,1
-.011138359439367,1.8939426,1060,159,901,.15000001,.85000002,3.6241372,2.8728714,1.2615035,.2074327,-.077275291,.56633657,-.13644764,.89149588,1
-.0111372510208755,1.8939424,1060,161,899,.15188679,.84811318,3.6239786,2.8727956,1.2614815,.20744057,-.077272005,.56633741,-.13644163,.89150065,1
-.0108448538914137,1.8938797,1060,161,899,.15188679,.84811318,3.5811336,2.8521595,1.2555867,.20957009,-.076433912,.56654936,-.1349113,.89271015,1
-.010832098880303,1.893877,1060,163,897,.15377359,.84622639,3.5791626,2.8512299,1.2553048,.20967232,-.076398864,.5665586,-.13484724,.89276081,1
-.010781753973631,1.893869,1060,164,896,.15471698,.84528303,3.5704811,2.8475456,1.2538801,.21018955,-.076273046,.56659526,-.13461646,.8929432,1
-.0107722580027068,1.8938676,1060,164,896,.15471698,.84528303,3.56879,2.8468521,1.2535917,.2102944,-.07624983,.56660217,-.13457383,.89297694,1
-.0105990820488195,1.8938414,1060,165,895,.15566038,.84433961,3.5379384,2.8344064,1.2482114,.21225674,-.075829491,.56672704,-.1338025,.8935867,1
-.0105665283206169,1.8938372,1060,166,894,.15660377,.84339625,3.5315547,2.8319833,1.2470253,.2126911,-.075756945,.56675059,-.13366893,.89369226,1
-.0104981746315181,1.8938283,1060,167,893,.15754718,.84245282,3.518204,2.8269668,1.2445155,.21361236,-.07560531,.5667991,-.13338996,.89391285,1
