panel,quantile,grid_value,fixed_value,marginal_effect,relief,se,ci_low,ci_high,N_model,N_countries
A,p10,.264689998626709,-.045634683,-.012944818,.012944818,.018261272,-.022847274,.048736911,1120,60
A,p25,.378910007476807,-.045634683,-.038153049,.038153049,.017554991,.0037452646,.072560832,1120,60
A,p50,.52179500579834,-.045634683,-.069687612,.069687612,.018742831,.032951657,.10642356,1120,60
A,p75,.7546599960327151,-.045634683,-.12108065,.12108065,.024487283,.073085576,.16907573,1120,60
A,p90,1.04376499176025,-.045634683,-.1848858,.1848858,.034857348,.11656541,.25320619,1120,60
B,p10,-.0965377521514893,.52179503,-.08332929,.08332929,.021787202,.040626373,.1260322,1120,60
B,p25,-.074067234992981,.52179503,-.077307343,.077307343,.020286897,.037545022,.11706966,1120,60
B,p50,-.0456346821784973,.52179503,-.069687612,.069687612,.018742831,.032951657,.10642356,1120,60
B,p75,-.0056132337450981,.52179503,-.058962129,.058962129,.017423609,.024811855,.093112402,1120,60
B,p90,.0227937173843384,.52179503,-.051349256,.051349256,.017206157,.01762519,.085073322,1120,60
