grid_index,theta,cutoff,low_part,high_part,marginal_effect,se,ci_low,ci_high,a_coef,b_coef,N_model,N_countries
1,-.0227554245416531,.0041231435658208,.0268785681074739,0,.0908568682487948,.0350587720242357,.0221416750812928,.1595720614162968,3.380271891177528,-.8043595764272844,1060,60
2,-.0210453631158074,.0041231435658208,.0251685066816282,0,.0850763956788216,.03282827174474,.0207329830591312,.149419808298512,3.380271891177528,-.8043595764272844,1060,60
3,-.0193353016899617,.0041231435658208,.0234584452557825,0,.07929592310884841,.0305977714652443,.0193242910369696,.1392675551807272,3.380271891177528,-.8043595764272844,1060,60
4,-.017625240264116,.0041231435658208,.0217483838299368,0,.0735154505388752,.0283672711857487,.0179155990148077,.1291153020629427,3.380271891177528,-.8043595764272844,1060,60
5,-.0159151788382703,.0041231435658208,.0200383224040911,0,.0677349779689021,.026136770906253,.0165069069926462,.118963048945158,3.380271891177528,-.8043595764272844,1060,60
6,-.0142051174124246,.0041231435658208,.0183282609782454,0,.0619545053989289,.0239062706267573,.0150982149704846,.1088107958273732,3.380271891177528,-.8043595764272844,1060,60
7,-.0124950559865789,.0041231435658208,.0166181995523997,0,.0561740328289557,.0216757703472617,.0136895229483228,.0986585427095886,3.380271891177528,-.8043595764272844,1060,60
8,-.0107849945607332,.0041231435658208,.014908138126554,0,.0503935602589825,.019445270067766,.0122808309261611,.0885062895918039,3.380271891177528,-.8043595764272844,1060,60
9,-.009074933134887501,.0041231435658208,.0131980767007083,0,.0446130876890093,.0172147697882703,.0108721389039995,.0783540364740191,3.380271891177528,-.8043595764272844,1060,60
10,-.0073648717090418,.0041231435658208,.0114880152748626,0,.0388326151190361,.0149842695087747,.0094634468818377,.0682017833562345,3.380271891177528,-.8043595764272844,1060,60
11,-.0056548102831961,.0041231435658208,.009777953849016899,0,.0330521425490629,.012753769229279,.0080547548596761,.0580495302384497,3.380271891177528,-.8043595764272844,1060,60
12,-.0039447488573504,.0041231435658208,.0080678924231712,0,.0272716699790898,.0105232689497834,.0066460628375143,.0478972771206653,3.380271891177528,-.8043595764272844,1060,60
13,-.0022346874315047,.0041231435658208,.0063578309973255,0,.0214911974091166,.008292768670287699,.0052373708153527,.0377450240028805,3.380271891177528,-.8043595764272844,1060,60
14,-.000524626005659,.0041231435658208,.0046477695714798,0,.0157107248391434,.006062268390792,.0038286787931911,.0275927708850957,3.380271891177528,-.8043595764272844,1060,60
15,.0011854354201867,.0041231435658208,.0029377081456341,0,.009930252269170201,.0038317681112964,.0024199867710293,.0174405177673111,3.380271891177528,-.8043595764272844,1060,60
16,.0028954968460324,.0041231435658208,.0012276467197884,0,.004149779699197,.0016012678318007,.0010112947488676,.0072882646495264,3.380271891177528,-.8043595764272844,1060,60
17,.0046055582718781,.0041231435658208,0,.0004824147060573,-.0003880348886265,.0001574907544223,-.0006967167672942,-.0000793530099588,3.380271891177528,-.8043595764272844,1060,60
18,.0063156196977238,.0041231435658208,0,.002192476131903,-.0017635391727844,.0007157632545830999,-.0031664351517673,-.0003606431938015,3.380271891177528,-.8043595764272844,1060,60
19,.0080256811235695,.0041231435658208,0,.0039025375577487,-.0031390434569423,.0012740357547438,-.0056361535362401,-.0006419333776445,3.380271891177528,-.8043595764272844,1060,60
20,.009735742549415199,.0041231435658208,0,.0056125989835944,-.0045145477411002,.0018323082549046,-.008105871920713201,-.0009232235614872,3.380271891177528,-.8043595764272844,1060,60
21,.0114458039752609,.0041231435658208,0,.0073226604094401,-.0058900520252581,.0023905807550653,-.0105755903051861,-.0012045137453301,3.380271891177528,-.8043595764272844,1060,60
