cutoff,rss,N_grid,N_low,N_high,share_low,share_high,b_low,se_low,t_low,p_low,b_high,se_high,t_high,p_high,sign_ok
-.0226961823620458,1.9086876,1060,106,954,.1,.89999998,5.0163865,2.6576333,1.887539,.064009458,-.26075044,.40991887,-.63610256,.52716959,1
-.0226775495035286,1.9086673,1060,108,952,.10188679,.89811319,5.0144663,2.6571522,1.887158,.064061604,-.26072162,.40992469,-.63602328,.5272209,1
-.0225325486799292,1.9085115,1060,108,952,.10188679,.89811319,4.9993429,2.6534944,1.8840601,.064486958,-.26045915,.40997672,-.63530231,.52768767,1
-.0224821778731377,1.9084591,1060,110,950,.10377359,.89622641,4.9939728,2.6522243,1.8829374,.064641707,-.2603665,.40999547,-.63504732,.52785277,1
-.0223372396549177,1.9082992,1060,110,950,.10377359,.89622641,4.9795222,2.6482294,1.8803214,.065003507,-.2600714,.41004875,-.63424504,.52837253,1
-.0222124447571907,1.9081492,1060,111,949,.10471698,.89528304,4.9671693,2.6451066,1.8778712,.065343916,-.25983772,.41009596,-.6336022,.52878916,1
-.0219366403543849,1.9078453,1060,112,948,.10566038,.89433962,4.9369431,2.6383872,1.8711975,.066278756,-.25940007,.41020119,-.6323728,.52958643,1
-.0217853097553535,1.9076945,1060,113,947,.10660377,.8933962,4.9186735,2.634753,1.8668442,.066894613,-.25921005,.41025937,-.63181996,.52994514,1
-.0217794681048986,1.9076884,1060,115,945,.10849056,.89150941,4.9179807,2.634608,1.866684,.066917375,-.25920397,.41026163,-.63180161,.52995706,1
-.021677046141948,1.9075757,1060,116,944,.10943396,.89056605,4.906126,2.6321115,1.8639507,.067306623,-.25909063,.41029906,-.6314677,.53017378,1
-.0211915935762922,1.9070218,1060,116,944,.10943396,.89056605,4.8552537,2.6183004,1.8543531,.068688631,-.25845185,.41047359,-.62964308,.53135896,1
-.0209789632302733,1.9067668,1060,117,943,.11037736,.88962263,4.8323264,2.61257,1.8496447,.069375314,-.25816783,.41054425,-.62884289,.53187907,1
-.0207932096203464,1.9065539,1060,119,941,.11226415,.88773584,4.8115416,2.6078281,1.8450378,.070052773,-.2579,.41060868,-.62809193,.53236753,1
-.0207540193973304,1.9065069,1060,119,941,.11226415,.88773584,4.8073907,2.6068251,1.8441554,.070183173,-.25783119,.41062328,-.62790203,.53249109,1
-.0201980814508653,1.9057989,1060,121,939,.11415094,.88584906,4.7567892,2.5885096,1.8376557,.07114996,-.25672159,.41081768,-.62490392,.53444356,1
-.0199498648935588,1.9055084,1060,122,938,.11509434,.88490564,4.7311587,2.5811598,1.8329583,.071855597,-.25616375,.41092706,-.62338006,.53543735,1
-.0198871862202432,1.9054377,1060,122,938,.11509434,.88490564,4.7244043,2.5792797,1.8316759,.072049275,-.25603485,.41095489,-.62302423,.53566957,1
-.0198659727064277,1.9054143,1060,123,937,.11603773,.88396227,4.722302,2.5787983,1.8312025,.072120868,-.2559894,.41096419,-.62289947,.53575099,1
-.0196895070910206,1.905216,1060,124,936,.11698113,.88301885,4.7050161,2.5748739,1.82728,.072716437,-.25559863,.41103849,-.6218363,.53644514,1
-.019448173721197,1.9049506,1060,126,934,.11886793,.88113207,4.6804333,2.5694225,1.8215896,.073587805,-.25506759,.41114146,-.62038887,.53739089,1
-.0193833105719575,1.9048764,1060,126,934,.11886793,.88113207,4.6741457,2.5679054,1.8202171,.07379926,-.25490215,.41116872,-.61994541,.5376808,1
-.0191000638515672,1.9045511,1060,127,933,.11981132,.8801887,4.6458836,2.5604389,1.8144872,.074687622,-.25423849,.41128474,-.61815685,.53885096,1
-.0190417384055742,1.904489,1060,128,932,.12075472,.87924528,4.6397161,2.5588839,1.8131797,.074891597,-.25410202,.41130695,-.61779171,.53909004,1
-.0189110518038625,1.9043512,1060,130,930,.12264151,.8773585,4.6261268,2.5557697,1.8100721,.075378254,-.25377026,.41135904,-.616907,.53966945,1
-.0186105579888338,1.9039979,1060,131,929,.1235849,.87641507,4.6014061,2.5457265,1.807502,.075782709,-.25290048,.41146961,-.61462736,.54116404,1
-.018491735706141,1.903837,1060,132,928,.1245283,.87547171,4.5940757,2.5410473,1.8079457,.075712755,-.25249118,.4115119,-.61356962,.5418582,1
-.0180656808097091,1.9032965,1060,133,927,.1254717,.87452829,4.5665154,2.522625,1.8102236,.075354449,-.25102311,.41166005,-.60978258,.54434729,1
-.0179551672175157,1.9031463,1060,134,926,.12641509,.87358493,4.5615606,2.5169561,1.812332,.075024068,-.25059998,.4116942,-.60870421,.54505706,1
-.0179460157957511,1.9031328,1060,135,925,.1273585,.8726415,4.5613756,2.5164316,1.8126365,.074976467,-.25056082,.41169709,-.60860479,.54512256,1
-.0176001901782427,1.9026251,1060,135,925,.1273585,.8726415,4.5535493,2.4966822,1.8238404,.073242113,-.24913298,.41180933,-.60497171,.54751766,1
-.0174478422382636,1.902406,1060,137,923,.12924528,.87075472,4.5494452,2.4880052,1.8285513,.072522983,-.248555,.41185918,-.60349512,.54849261,1
-.0173609781372973,1.9022874,1060,138,922,.13018867,.8698113,4.546608,2.4830837,1.8310328,.072146557,-.2482432,.41188905,-.60269433,.54902172,1
-.0172514266106515,1.9020865,1060,138,922,.13018867,.8698113,4.5479345,2.4748909,1.8376303,.071153753,-.24773569,.41191378,-.60142606,.54986018,1
-.0170131618686233,1.9016523,1060,139,921,.13113208,.86886793,4.5501013,2.4570186,1.8518789,.069048755,-.24666196,.41196847,-.59873992,.55163831,1
-.0168961070612311,1.9014536,1060,141,919,.13301887,.86698115,4.5499635,2.4485319,1.8582416,.068125859,-.24617875,.41199636,-.59752649,.55244249,1
-.0167520061479659,1.9012038,1060,141,919,.13301887,.86698115,4.5499105,2.4380486,1.86621,.066984743,-.24560072,.41203156,-.59607255,.55340677,1
-.0164243923832317,1.9005951,1060,142,918,.13396226,.86603773,4.5562496,2.4113779,1.8894798,.063744381,-.24415512,.41209933,-.59246671,.55580211,1
-.0162966113687471,1.9003432,1060,143,917,.13490567,.86509436,4.5596466,2.4009259,1.8991202,.062441349,-.24359006,.4121207,-.59106487,.55673468,1
-.0162689738664012,1.9002869,1060,144,916,.13584906,.86415094,4.5604172,2.3986599,1.9012355,.062158495,-.24347115,.4121249,-.5907703,.55693072,1
-.0160415773692564,1.8998854,1060,145,915,.13679245,.86320752,4.5665846,2.378602,1.9198606,.059714481,-.24247192,.4121868,-.58825737,.55860478,1
-.0159997379535829,1.8998095,1060,146,914,.13773584,.86226416,4.5677395,2.3748271,1.9233987,.059259571,-.24230032,.41219729,-.58782607,.55889231,1
-.0156003407466201,1.8990903,1060,147,913,.13867925,.86132073,4.5770102,2.3388336,1.9569627,.055088904,-.24064013,.41229099,-.58366579,.56167001,1
-.0155320524124273,1.8989658,1060,149,911,.14056604,.85943395,4.5783658,2.3325734,1.9627961,.054390248,-.24036647,.41230652,-.58298004,.56212848,1
-.0154557462923844,1.8988265,1060,149,911,.14056604,.85943395,4.5799913,2.3257449,1.9692578,.053625189,-.24003963,.41232461,-.58216178,.56267577,1
-.0153886888637941,1.8987075,1060,150,910,.14150943,.85849059,4.5812297,2.3197732,1.9748611,.052969258,-.23975714,.41234082,-.5814538,.56314957,1
-.0150898292696929,1.8981777,1060,151,909,.14245284,.85754716,4.5856833,2.2927396,2.0000889,.050100546,-.23855966,.41241574,-.57844466,.56516558,1
-.0150537292375565,1.8981138,1060,152,908,.14339623,.8566038,4.5860786,2.2895122,2.0030811,.049769316,-.23841982,.41242498,-.57809258,.56540167,1
-.0149551893747898,1.8979533,1060,153,907,.14433962,.85566038,4.5856595,2.2810471,2.0103309,.0489746,-.23804982,.41245309,-.57715613,.56602985,1
-.0146766663432814,1.8974957,1060,154,906,.14528301,.85471696,4.5835767,2.2573404,2.0305209,.0468187,-.23705693,.41253716,-.57463169,.56772512,1
-.014565612633308,1.897326,1060,156,904,.14716981,.85283017,4.581522,2.248183,2.0378778,.046053737,-.23667632,.41257849,-.57365161,.56838393,1
-.0141031172591381,1.8967341,1060,157,903,.14811321,.85188681,4.5601525,2.2122705,2.0612996,.043689817,-.23528503,.4127883,-.56998956,.57084894,1
-.0140221684567574,1.8966336,1060,158,902,.1490566,.85094339,4.5559959,2.2059584,2.0653138,.043295417,-.23505653,.41282701,-.56938261,.57125801,1
-.013656682359389,1.896234,1060,159,901,.15000001,.85000002,4.5351071,2.1766944,2.0834835,.041548494,-.23402978,.41300815,-.56664693,.57310349,1
-.0135647096671077,1.8961262,1060,159,901,.15000001,.85000002,4.5306191,2.1689656,2.0888386,.041045446,-.23372713,.41305366,-.56585175,.57364047,1
-.0135452912413601,1.896103,1060,160,900,.1509434,.8490566,4.5296841,2.1673439,2.0899701,.040939838,-.2336614,.4130632,-.56567955,.57375681,1
-.0134324986727356,1.8959726,1060,161,899,.15188679,.84811318,4.5239763,2.1579685,2.096405,.040343706,-.23327082,.41311911,-.56465757,.57444733,1
-.0131657289471152,1.8956318,1060,162,898,.15283018,.84716982,4.5119648,2.1354969,2.1128407,.038855262,-.23236401,.41324505,-.56229109,.5760479,1
-.0129205630077129,1.8953149,1060,164,896,.15471698,.84528303,4.5008516,2.1147308,2.1283331,.037496254,-.23153538,.41336796,-.56011933,.5775187,1
-.0127772775154242,1.8951346,1060,165,895,.15566038,.84433961,4.4936428,2.1026378,2.1371455,.036741886,-.23104967,.41344091,-.5588457,.57838207,1
-.0127478880857092,1.8950956,1060,165,895,.15566038,.84433961,4.4922714,2.1000843,2.139091,.036577135,-.2309407,.41345546,-.55856252,.57857412,1
-.0121798812758796,1.8944814,1060,166,894,.15660377,.84339625,4.4552159,2.0527275,2.1703882,.034014266,-.22912143,.41376191,-.55375189,.58184135,1
-.0119692687792314,1.894284,1060,167,893,.15754718,.84245282,4.4384437,2.0356567,2.1803498,.033232253,-.22848752,.41388047,-.55206162,.58299136,1
-.0116095234140464,1.893945,1060,168,892,.15849057,.84150946,4.409183,2.0066566,2.1972785,.031939432,-.22740301,.41407987,-.54917669,.58495682,1
-.0115335685581448,1.8938814,1060,170,890,.16037735,.83962262,4.4025965,2.0008516,2.2003615,.031708799,-.22718659,.41412306,-.5485968,.58535224,1
-.011501032261768,1.8938559,1060,170,890,.16037735,.83962262,4.3997126,1.9983871,2.2016315,.03161421,-.22709431,.4141416,-.54834944,.58552098,1
-.011449624726623,1.8938241,1060,171,889,.16132076,.83867925,4.3948669,1.9946318,2.2033474,.031486832,-.22697285,.41417181,-.54801619,.58574831,1
-.0114228440641253,1.893809,1060,172,888,.16226415,.83773583,4.3923974,1.9926378,2.2043128,.031415354,-.22690865,.41418788,-.54783994,.5858686,1
