cutoff,rss,N_grid,N_low,N_high,share_low,share_high,b_low,se_low,t_low,p_low,b_high,se_high,t_high,p_high,sign_ok
-.0226961823620458,6.0966387,940,94,846,.1,.89999998,18.023928,8.8100176,2.0458448,.04107967,-2.2156546,.83587629,-2.6506968,.0081823459,1
-.0226775495035286,6.0965056,940,96,844,.10212766,.89787233,18.01252,8.804285,2.045881,.041076079,-2.215673,.83592629,-2.6505604,.0081856214,1
-.0225325486799292,6.0954471,940,96,844,.10212766,.89787233,17.926113,8.7599859,2.0463631,.041028552,-2.2157149,.83631992,-2.6493628,.0082144458,1
-.0224821778731377,6.0950832,940,98,842,.10425532,.89574468,17.895977,8.7445536,2.0465283,.041012276,-2.2157321,.83645642,-2.6489511,.0082243746,1
-.0223372396549177,6.0940199,940,98,842,.10425532,.89574468,17.810364,8.7001076,2.047143,.040951759,-2.2157667,.83684355,-2.6477668,.008252996,1
-.0222124447571907,6.0930972,940,99,841,.10531915,.89468086,17.734602,8.6619205,2.0474215,.040924378,-2.2158451,.83717513,-2.646812,.0082761403,1
-.0219366403543849,6.0911484,940,100,840,.10638298,.89361703,17.559587,8.5772552,2.0472269,.040943507,-2.216254,.83790588,-2.6449919,.0083204173,1
-.0217853097553535,6.0900688,940,101,839,.10744681,.89255321,17.462379,8.5307827,2.0469842,.040967382,-2.2165864,.83830035,-2.6441433,.0083411252,1
-.0217794681048986,6.0900259,940,103,837,.10957447,.8904255,17.458645,8.5289917,2.0469763,.040968154,-2.2166023,.83831507,-2.6441159,.0083417967,1
-.021677046141948,6.0892487,940,104,836,.1106383,.88936168,17.392902,8.4978027,2.0467529,.040990148,-2.2168834,.83857274,-2.6436388,.0083534662,1
-.0211915935762922,6.0854182,940,104,836,.1106383,.88936168,17.111315,8.3615656,2.0464249,.041022472,-2.217979,.83978385,-2.6411309,.0084150396,1
-.0209789632302733,6.0837131,940,105,835,.11170213,.88829786,16.982302,8.301899,2.0455923,.041104574,-2.2184865,.84031022,-2.6400805,.0084409481,1
-.0207932096203464,6.0822678,940,107,833,.11382978,.88617021,16.866903,8.2507219,2.0442944,.041232865,-2.2189353,.84077877,-2.6391425,.0084641417,1
-.0207540193973304,6.0819521,940,107,833,.11382978,.88617021,16.843599,8.239995,2.0441275,.041249387,-2.2190049,.84087896,-2.638911,.0084698768,1
-.0201980814508653,6.0771613,940,109,831,.11595745,.88404256,16.562792,8.098197,2.0452445,.041138921,-2.2196009,.84226942,-2.6352625,.0085607097,1
-.0199498648935588,6.0749917,940,110,830,.11702128,.88297874,16.441633,8.0360317,2.0459893,.041065417,-2.2195692,.84291458,-2.6332076,.0086122444,1
-.0198871862202432,6.0744505,940,110,830,.11702128,.88297874,16.410414,8.0203342,2.0461009,.041054405,-2.2196043,.84307539,-2.6327469,.0086238366,1
-.0198659727064277,6.0742507,940,111,829,.11808511,.88191491,16.403027,8.0154753,2.0464196,.041022979,-2.219584,.84312809,-2.6325583,.0086285872,1
-.0196895070910206,6.0724921,940,112,828,.11914894,.88085109,16.34197,7.97541,2.0490446,.040765021,-2.2194071,.84356034,-2.6309996,.0086679338,1
-.019448173721197,6.0701246,940,114,826,.12127659,.87872338,16.255486,7.9201145,2.0524306,.040434297,-2.2191985,.84414959,-2.628916,.0087207789,1
-.0191000638515672,6.06668,940,114,826,.12127659,.87872338,16.129944,7.8401947,2.0573397,.039958857,-2.2186961,.84502262,-2.6256058,.0088053346,1
-.0190417384055742,6.0660996,940,115,825,.12234043,.87765956,16.107553,7.8267856,2.0580037,.039894927,-2.218622,.84516698,-2.6250694,.0088191032,1
-.0189110518038625,6.0648093,940,117,823,.12446809,.87553191,16.057972,7.7975535,2.0593603,.039764561,-2.2184122,.84549683,-2.6237972,.0088518392,1
-.0186105579888338,6.0616059,940,118,822,.12553191,.87446809,15.976722,7.7347674,2.0655723,.039172199,-2.2175915,.84624565,-2.6205056,.0089370394,1
