cutoff,rss,N_grid,N_low,N_high,share_low,share_high,b_low,se_low,t_low,p_low,b_high,se_high,t_high,p_high,sign_ok
-.0235787884245493,1.8264341,970,97,873,.1,.89999998,4.269362,2.2585981,1.8902707,.0590505,-.67346364,.40879145,-1.6474503,.099822909,1
-.0228146667212604,1.8260725,970,97,873,.1,.89999998,4.2430129,2.2164772,1.9143047,.055905651,-.67302018,.40977818,-1.6424013,.10086453,1
-.0226961823620458,1.8260127,970,98,872,.10103093,.89896905,4.2391748,2.2100086,1.9181712,.055413011,-.67293185,.40992954,-1.6415794,.10103491,1
-.0226775495035286,1.826005,970,100,870,.10309278,.89690721,4.2382183,2.2089367,1.9186691,.055349838,-.67291862,.40995356,-1.6414509,.10106157,1
-.0225325486799292,1.8259403,970,100,870,.10309278,.89690721,4.2316833,2.2007909,1.9228011,.054827858,-.67277491,.410142,-1.6403463,.10129096,1
-.0224821778731377,1.8259182,970,102,868,.10515464,.89484537,4.2293191,2.1979499,1.924211,.054650709,-.67272419,.41020757,-1.6399605,.10137116,1
-.0223372396549177,1.8258514,970,102,868,.10515464,.89484537,4.2230306,2.1898434,1.9284624,.054119401,-.67256665,.41039494,-1.6388278,.10160697,1
-.0222124447571907,1.8258049,970,103,867,.10618557,.89381444,4.2165341,2.1829157,1.9316065,.053729262,-.67240077,.41055572,-1.637782,.10182508,1
-.0219366403543849,1.8257163,970,104,866,.10721649,.89278352,4.1995301,2.1672668,1.9377079,.052978862,-.67206949,.41091138,-1.6355582,.10229009,1
-.0217853097553535,1.8256633,970,105,865,.10824742,.8917526,4.190567,2.158659,1.9412825,.052543316,-.67190802,.41110563,-1.6343926,.1025345,1
-.0217794681048986,1.8256611,970,107,863,.11030928,.8896907,4.1902466,2.1583259,1.9414335,.052524984,-.67190313,.41111311,-1.6343509,.10254325,1
-.021677046141948,1.8256197,970,108,862,.11134021,.88865978,4.1847467,2.1524928,1.9441396,.05219736,-.67181104,.4112446,-1.6336046,.10269999,1
-.0211915935762922,1.8254023,970,108,862,.11134021,.88865978,4.1641278,2.1270437,1.9577067,.05058049,-.67126352,.41186389,-1.6298188,.10349806,1
-.0209789632302733,1.8253036,970,109,861,.11237113,.88762885,4.1546941,2.115643,1.9637972,.049868446,-.67102766,.41213265,-1.6281837,.10384428,1
-.0207932096203464,1.8252209,970,111,859,.11443299,.88556701,4.1455984,2.1055975,1.9688466,.049284514,-.67079687,.41237009,-1.6266865,.1041621,1
-.0207540193973304,1.8252014,970,111,859,.11443299,.88556701,4.1440434,2.103538,1.9700351,.049147915,-.6707387,.41241959,-1.6263502,.10423361,1
-.0201980814508653,1.8248929,970,113,857,.11649484,.88350517,4.1297932,2.0771093,1.9882406,.047094863,-.66977656,.41311735,-1.6212744,.10531745,1
-.0199498648935588,1.8247349,970,114,856,.11752577,.88247424,4.1269603,2.066102,1.9974622,.046082828,-.66919136,.41343087,-1.6186293,.10588576,1
-.0198871862202432,1.8246905,970,114,856,.11752577,.88247424,4.1269007,2.0634146,2.0000346,.045803811,-.66904199,.41350904,-1.6179621,.10602952,1
-.0198659727064277,1.8246723,970,115,855,.1185567,.88144332,4.1276751,2.0626516,2.0011497,.045683287,-.66897655,.41353527,-1.6177013,.10608576,1
-.0196895070910206,1.8245192,970,116,854,.11958763,.8804124,4.1340919,2.0562756,2.0104754,.044685904,-.66842687,.41375262,-1.6155231,.10655631,1
-.019448173721197,1.8243153,970,118,852,.12164948,.8783505,4.14148,2.0473249,2.0228739,.043388467,-.66766149,.41404897,-1.6125182,.10720818,1
-.0193833105719575,1.8242615,970,118,852,.12164948,.8783505,4.1431913,2.0449114,2.026098,.04305632,-.66744632,.41412991,-1.6116834,.10738983,1
-.0191000638515672,1.8240151,970,119,851,.12268041,.87731957,4.1512704,2.0343595,2.0405788,.041591063,-.66654998,.41447905,-1.6081634,.10815851,1
-.0190417384055742,1.8239625,970,120,850,.12371134,.87628865,4.1528721,2.0321126,2.043623,.04128845,-.66636848,.4145506,-1.6074479,.10831528,1
-.0189110518038625,1.8238462,970,122,848,.12577319,.87422681,4.1562886,2.0272341,2.0502264,.040638499,-.66594601,.41471273,-1.6058007,.10867686,1
-.0186105579888338,1.823558,970,123,847,.12680413,.87319589,4.1683769,2.0174038,2.0662086,.03910125,-.66488463,.41508204,-1.601815,.10955582,1
-.018491735706141,1.8234422,970,124,846,.12783505,.87216496,4.1732678,2.013586,2.0725551,.03850469,-.66444921,.41522694,-1.6002073,.10991191,1
-.0180656808097091,1.8230295,970,125,845,.12886597,.87113404,4.1873417,1.9989038,2.0948191,.036472797,-.6629563,.41574672,-1.5946158,.11115764,1
-.0179551672175157,1.8229189,970,126,844,.12989691,.87010312,4.1919341,1.995644,2.1005421,.035965536,-.66254246,.41588646,-1.5930849,.11150064,1
-.0179460157957511,1.82291,970,127,843,.13092783,.86907214,4.192359,1.9954308,2.1009796,.035927013,-.66250783,.41589814,-1.592957,.11152935,1
-.0174478422382636,1.8224255,970,128,842,.13195877,.86804122,4.2127547,1.9832634,2.1241529,.033935986,-.66066486,.41653731,-1.5860881,.11307898,1
-.0173609781372973,1.8223455,970,129,841,.13298969,.8670103,4.2154408,1.9810069,2.1279283,.033620723,-.66035467,.41664854,-1.5849202,.11334416,1
-.0172514266106515,1.8222311,970,129,841,.13298969,.8670103,4.220984,1.9784114,2.1335218,.033158269,-.65991312,.41678876,-1.5833275,.11370652,1
-.0170131618686233,1.8219932,970,130,840,.13402061,.86597937,4.2306905,1.9723232,2.1450291,.032224,-.6590023,.41709262,-1.5799903,.11446886,1
-.0168961070612311,1.8218783,970,132,838,.13608247,.86391753,4.2350092,1.9692618,2.1505568,.031783294,-.658571,.41724125,-1.5783938,.11483495,1
