cutoff,rss,N_grid,N_low,N_high,share_low,share_high,b_low,se_low,t_low,p_low,b_high,se_high,t_high,p_high,sign_ok
-.0226961823620458,6.2185721,940,94,846,.1,.89999998,20.537632,8.829957,2.3259039,.02025808,-3.4887092,.69861478,-4.9937525,7.1869755e-07,1
-.0226775495035286,6.2185378,940,96,844,.10212766,.89787233,20.530067,8.8237104,2.3266931,.020215794,-3.4887521,.69865727,-4.9935098,7.1957516e-07,1
-.0225325486799292,6.2182646,940,96,844,.10212766,.89787233,20.472589,8.7757215,2.3328669,.019887634,-3.4890504,.69898891,-4.9915676,7.2664233e-07,1
-.0224821778731377,6.2181711,940,98,842,.10425532,.89574468,20.452253,8.7590055,2.3349972,.019775491,-3.4891572,.69910401,-4.9908986,7.2909199e-07,1
-.0223372396549177,6.217895,940,98,842,.10425532,.89574468,20.395014,8.7108688,2.3413293,.019445404,-3.4894447,.69943243,-4.9889665,7.3621123e-07,1
-.0222124447571907,6.2176628,940,99,841,.10531915,.89468086,20.344559,8.6692686,2.3467445,.019166946,-3.4897029,.69971478,-4.9873223,7.4232179e-07,1
-.0219366403543849,6.2171984,940,100,840,.10638298,.89361703,20.223961,8.5767603,2.3579953,.018599568,-3.4903471,.70034105,-4.9837818,7.5564634e-07,1
-.0217853097553535,6.2169399,940,101,839,.10744681,.89255321,20.158213,8.5259161,2.3643456,.018285859,-3.4906952,.70068336,-4.9818439,7.6303746e-07,1
-.0217794681048986,6.2169294,940,103,837,.10957447,.8904255,20.155811,8.5239582,2.3646071,.018273044,-3.4907069,.70069647,-4.9817677,7.6333072e-07,1
-.021677046141948,6.2167368,940,104,836,.1106383,.88936168,20.114338,8.4896059,2.3692899,.018044833,-3.4909086,.70092595,-4.9804244,7.6849562e-07,1
-.0211915935762922,6.2157612,940,104,836,.1106383,.88936168,19.940306,8.3410072,2.3906353,.017035997,-3.4916978,.70200354,-4.9739032,7.9405783e-07,1
-.0209789632302733,6.2153573,940,105,835,.11170213,.88829786,19.859301,8.275197,2.3998585,.016615655,-3.4921014,.70247364,-4.9711499,8.0509648e-07,1
-.0207932096203464,6.215044,940,107,833,.11382978,.88617021,19.783125,8.2184391,2.4071631,.01628924,-3.4924898,.70289046,-4.9687538,8.1482153e-07,1
-.0207540193973304,6.214972,940,107,833,.11382978,.88617021,19.768126,8.2066011,2.408808,.01621653,-3.4925554,.70297885,-4.9682226,8.1699255e-07,1
-.0201980814508653,6.2137599,940,109,831,.11595745,.88404256,19.600014,8.0526924,2.4339705,.015139228,-3.4931712,.70420396,-4.960454,8.4939535e-07,1
-.0199498648935588,6.2132258,940,110,830,.11702128,.88297874,19.524763,7.9855318,2.4450173,.014686562,-3.4933205,.70476341,-4.956728,8.6537233e-07,1
-.0198871862202432,6.2130957,940,110,830,.11702128,.88297874,19.505001,7.9684882,2.4477668,.014575765,-3.4933791,.70490301,-4.9558296,8.6926764e-07,1
-.0198659727064277,6.2130404,940,111,829,.11808511,.88191491,19.50106,7.9634109,2.4488325,.014533022,-3.4933841,.70494813,-4.9555192,8.7061647e-07,1
-.0196895070910206,6.2125621,940,112,828,.11914894,.88085109,19.471266,7.9211473,2.458137,.014164509,-3.4933987,.70532048,-4.9529238,8.8198271e-07,1
-.019448173721197,6.2119241,940,114,826,.12127659,.87872338,19.426453,7.8625226,2.4707658,.01367756,-3.4934566,.70582753,-4.9494476,8.9743014e-07,1
-.0191000638515672,6.2110267,940,114,826,.12127659,.87872338,19.356676,7.7774801,2.4888108,.013007483,-3.4935577,.7065686,-4.9444003,9.2032690e-07,1
-.0190417384055742,6.2108812,940,115,825,.12234043,.87765956,19.343977,7.7630358,2.4918058,.012899132,-3.4935858,.7066924,-4.9435735,9.2412995e-07,1
-.0189110518038625,6.210566,940,117,823,.12446809,.87553191,19.314781,7.7316685,2.4981389,.012672632,-3.493633,.70697457,-4.9416671,9.3295751e-07,1
-.0186105579888338,6.2096958,940,118,822,.12553191,.87446809,19.277431,7.6665993,2.5144696,.01210478,-3.4935081,.70761174,-4.9370408,9.5472046e-07,1
