cutoff,rss,N_grid,N_low,N_high,share_low,share_high,b_low,se_low,t_low,p_low,b_high,se_high,t_high,p_high,sign_ok
-.0226961823620458,2.093931,1060,106,954,.1,.89999998,4.3447137,2.8583152,1.5200262,.1288296,-.046720188,.4274227,-.10930675,.91298175,1
-.0226775495035286,2.0939114,1060,108,952,.10188679,.89811319,4.3415751,2.8564007,1.5199461,.12884973,-.046693958,.4274455,-.10923956,.91303504,1
-.0225325486799292,2.0937622,1060,108,952,.10188679,.89811319,4.3170576,2.8415899,1.5192401,.12902725,-.046441376,.42762473,-.1086031,.91353971,1
-.0224821778731377,2.0937159,1060,110,950,.10377359,.89622641,4.3085046,2.8364754,1.5189643,.12909667,-.046346568,.42768657,-.10836572,.91372794,1
-.0223372396549177,2.0935657,1060,110,950,.10377359,.89622641,4.2854452,2.8217213,1.5187343,.12915455,-.046032,.42786324,-.10758578,.91434646,1
-.0222124447571907,2.0934129,1060,111,949,.10471698,.89528304,4.2653446,2.8089936,1.51846,.12922363,-.045795001,.42801607,-.10699365,.91481608,1
-.0219366403543849,2.0931301,1060,112,948,.10566038,.89433962,4.2169933,2.7812047,1.516247,.12978202,-.045348592,.42835587,-.10586663,.91571003,1
-.0217853097553535,2.0930095,1060,113,947,.10660377,.8933962,4.1881394,2.7661526,1.5140666,.13033405,-.045150932,.42854491,-.10535869,.9161129,1
-.0217794681048986,2.0930047,1060,115,945,.10849056,.89150941,4.1870003,2.765569,1.5139742,.13035746,-.045144696,.42855212,-.10534237,.91612589,1
-.021677046141948,2.0929027,1060,116,944,.10943396,.89056605,4.1673656,2.7552807,1.5125012,.13073145,-.045041583,.4286797,-.10507049,.91634154,1
-.0211915935762922,2.0924463,1060,116,944,.10943396,.89056605,4.0789738,2.709492,1.5054386,.13253623,-.04449797,.42928883,-.10365508,.91746444,1
-.0209789632302733,2.0922422,1060,117,943,.11037736,.88962263,4.0393596,2.6896482,1.5018172,.1334691,-.044292536,.42955852,-.10311177,.91789556,1
-.0207932096203464,2.0920682,1060,119,941,.11226415,.88773584,4.0049009,2.6725476,1.4985331,.13431948,-.044060532,.42979652,-.10251486,.91836917,1
-.0207540193973304,2.0920277,1060,119,941,.11226415,.88773584,3.9979589,2.6689403,1.4979575,.13446897,-.043993812,.42984688,-.10234763,.91850185,1
-.0201980814508653,2.0914674,1060,121,939,.11415094,.88584906,3.9064772,2.6208215,1.4905545,.13640293,-.043002408,.43056372,-.099874668,.9204644,1
-.0199498648935588,2.0912638,1060,122,938,.11509434,.88490564,3.8627906,2.6002655,1.4855369,.13772589,-.042507678,.43089953,-.098648705,.92143756,1
