"country_name","iso3","year","bond_spreads","bond_10y","vulnerability100","exposure100","readiness100","lnrgdp","growth","inflation_cpi","debt_gdp","OB_gdp","reserves","gee","rqe","tt","is_advanced","sensitivity","EcoReadiness100","readiness_delta100","vulnerability_delta100","capacity","governance100","social100"
"Australia","AUS","1995","2.62287","9.20119","32.68232633","47.9701869855","58.29214172","7.052529854","2.959","4.626","31.097","-0.497","1.293663073","","","","1","15.8599053105164","50.485387895351800","15.913917418968400","-10.469087492285700","35.1087279473884","82.201732102460397","42.1893051485052"
"Australia","AUS","1996","1.764419","8.204134","32.67949143","47.9701869855","58.60774601","7.09144673","3.968","2.653","29.3","0.567","1.44819321","1.800564528","1.367597103","","1","15.9296460170797","50.485387895351800","15.758211604733900","-10.165621224876200","35.0160540007003","82.201732102460397","43.1361180323706"
"Australia","AUS","1997","0.597976","6.940316","32.80905349","47.9701869855","58.79198001","7.13759953","4.723","0.225","25.864","1.218","1.397664122","","","","1","15.9789931365195","50.485387895351800","15.514560983601500","-9.7579799101715300","35.3869767790349","81.531797988908195","44.3587541547828"
"Australia","AUS","1998","0.214657","5.488465","32.85287539","47.9701869855","59.19098357","7.183408545","4.687","0.859","23.657","1.14","1.167273299","1.618118048","1.432211161","","1","15.9972710069285","50.485387895351800","15.373399859094500","-9.363108730053100","35.510790078886","80.861863875355795","46.2256989540507"
"Australia","AUS","1999","0.37617","6.023071","32.86614415","47.9701869855","59.88552213","7.226664179","4.42","1.408","22.504","1.643","1.596059882","","","","1","16.0453034801478","50.485387895351800","15.590758072325500","-9.0397237732386200","35.5021517382893","81.890678735502192","47.2804997551448"
"Australia","AUS","2000","0.289165","6.31792","32.86286515","47.9701869855","60.69406078","7.257274179","3.108","4.457","19.458","1.923","1.326970183","1.732170224","1.575613499","67.47797273","1","16.0499199112817","50.485387895351800","15.944042341825400","-8.7471361059341200","35.4865647479362","82.919493595648504","48.6773008436031"
"Australia","AUS","2001","0.614434","5.616706","32.76745111","47.9701869855","61.24574908","7.282781111","2.584","4.407","17.076","0.686","1.282722247","","","70.16764972","1","15.9812670017397","50.485387895351800","16.019842198272800","-8.5332735481524100","35.2495912935105","82.047291360064904","51.2045679942152"
"Australia","AUS","2002","1.257369","5.843413","32.80223873","47.9701869855","61.5178818","7.323418212","4.147","3.049","14.985","0.85","1.423212888","1.659198642","1.421155572","71.44057241","1","15.8384116361414","50.485387895351800","15.694316717586400","-8.1100720017358200","35.5215013140249","81.175089124481303","52.8931683927231"
"Australia","AUS","2003","1.370614","5.370768","32.75015746","47.9701869855","61.99592007","7.353151105","3.018","2.731","13.165","1.341","2.130414823","1.773278832","1.575263143","71.39296691","1","15.7394403720051","50.485387895351800","15.702854498702600","-7.857028166646900","35.4450659937045","81.740881554939307","53.7614907659352"
"Australia","AUS","2004","1.338919","5.596535","32.67987366","47.9701869855","62.90117828","7.393360936","4.103","2.342","11.888","1.31","2.272118452","1.98494184","1.711219549","78.30723187","1","15.5636039582588","50.485387895351800","15.900419803957300","-7.4673872486331800","35.3886600208655","83.063911310937698","55.1542356447774"
